,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
188,29201.4666275202,1.116055531681508,1.0987955615955611,0.042117516836195266,1.0566780447593658
189,29201.728540891,1.1364635609003622,1.1170995041026175,0.04512678219562642,1.071972721906991
190,29201.9904589893,1.147304649570613,1.1266446248277044,0.046932306574682586,1.079712318253022
191,29202.2523818151,1.1567089633138683,1.1365596140626146,0.04905810888338053,1.087501505179234
192,29202.5143093686,1.167768494248809,1.1434049401179807,0.0516875999015656,1.091717340216415
193,29202.7762416498,1.173899104095304,1.1518828716420024,0.05397532938350054,1.0979075422585018
194,29203.038178659,1.1781897237128072,1.1551162813601599,0.05622441870481967,1.0988918626553401
195,29203.3001203962,1.1815090434229423,1.1592439372700076,0.058787084524039745,1.100456852745968
196,29203.5096771903,1.1840854161066194,1.1606162811065523,0.06062327843199943,1.099993002674553
197,29203.7716274383,1.1836725878328092,1.1596421525273157,0.0633213953408571,1.0963207571864586
198,29204.0859739775,1.1778619123752148,1.1574599405217005,0.06583383558905503,1.0916261049326454
199,29204.2955421197,1.1754513323491853,1.1545918862700484,0.06816117247775834,1.08643071379229
200,29204.5575065534,1.1729890442681157,1.1522096084556923,0.07124206339991268,1.0809675450557796
201,29204.8194757158,1.1677131643924799,1.1522392894225444,0.07335567155570352,1.0788836178668408
202,29205.0814496072,1.1610578970174514,1.147581995130904,0.07555224078409294,1.0720297543468111
203,29205.3434282276,1.155317538186702,1.1409753313979603,0.0778715945482649,1.0631037368496954
204,29205.6054115771,1.1499457700433793,1.1356256462242968,0.07961074617706593,1.056014900047231
205,29205.867399656,1.1410563099877087,1.1283402197834709,0.08088981334321899,1.047450406440252
206,29206.1293924643,1.1313246897824,1.120827906816058,0.08272919448592744,1.0380987123301306
207,29206.3913900021,1.1273385661253221,1.1180633227156929,0.08420363789538404,1.0338596848203088
208,29206.6533922697,1.1214836888034947,1.113100392104365,0.08574903535166181,1.027351356752703
209,29206.915399267,1.1122369738128668,1.1071863460989058,0.08706601699450411,1.0201203291044016
210,29207.1774109943,1.104561524031721,1.10076941890813,0.08811094435679852,1.0126584745513316
211,29207.3870237818,1.1003106752155878,1.0955121290903642,0.0886965534445501,1.0068155756458141
212,29207.7014486392,1.0974093108089464,1.0899651663903323,0.08943342320143112,1.0005317431889011
213,29207.9110689951,1.0901690618438669,1.0876101522727706,0.08961428839718388,0.9979958638755866
214,29208.1730986973,1.082005110606444,1.0801497763549914,0.08986239878900966,0.9902873775659817
